FID,OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
153,154,9968.000000000000000,KEDZIE,109TH STREET,NB,NS,52A, ,CHICAGO,1,Kedzie & 109th Street,-87.700872000000004,41.695129000000001
154,155,11915.000000000000000,CALIFORNIA,LUNT,NB,NS,93, ,CHICAGO,1,California & Lunt,-87.699695000000006,42.008364000000000
155,156,2169.000000000000000,KING DRIVE,33RD STREET,NB,FS,"3,31", ,CHICAGO,1,King Drive & 33rd Street,-87.616933540000005,41.834949899999998
156,157,9970.000000000000000,KEDZIE,107TH STREET,NB,NS,52A, ,CHICAGO,1,Kedzie & 107th Street,-87.701004999999995,41.698785000000001
157,158,13126.000000000000000,OAKTON,ASBURY,WB,FS,206, ,EVANSTON,2,Oakton & Asbury,-87.690195549999999,42.026828150000000
158,159,11495.000000000000000,PETERSON,JERSEY,WB,NS,84, ,CHICAGO,1,Peterson & Jersey,-87.710782940000001,41.990470139999999
159,160,4551.000000000000000,55TH STREET,MEADE,WB,NS,55N, ,CHICAGO,1,55th Street & Meade,-87.774384029999993,41.792550370000001
160,161,9510.000000000000000,87TH STREET,driveway opp. LONGWOOD,WB,NS,"87,95",N87,CHICAGO,1,87th Street & Longwood,-87.675874260000001,41.735722830000000
161,162,3294.000000000000000,63RD STREET,MAYFIELD,WB,NS,63W, ,CHICAGO,1,63rd Street & Mayfield,-87.768899300000001,41.777972349999999
162,163,234.000000000000000,CONGRESS,HAMLIN/INDEPENDENCE,WB,NS,"7,126", ,CHICAGO,1,Congress & Hamlin/Independence,-87.719614170000000,41.874509490000001
163,164,9523.000000000000000,87TH STREET,HAMLIN,WB,NS,87, ,CHICAGO,1,87th Street & Hamlin,-87.716453470000005,41.735036010000002
164,165,947.000000000000000,NORTH AVENUE,LEAVITT,WB,NS,72, ,CHICAGO,1,North Ave & Leavitt,-87.682227699999999,41.910496879999997
165,166,2630.000000000000000,79TH STREET,COTTAGE GROVE,WB,NS,79,N79,CHICAGO,1,79th Street & Cottage Grove,-87.605051669999995,41.751356899999998
166,167,10830.000000000000000,71ST STREET,STONY ISLAND,WB,NS,71, ,CHICAGO,1,71st Street & Stony Island,-87.585702999999995,41.766196999999998
167,168,142.000000000000000,JACKSON,LAVERGNE,WB,FS,126, ,CHICAGO,1,Jackson & Lavergne,-87.749340279999998,41.876803930000001
168,169,5736.000000000000000,IRVING PARK,NEENAH,WB,NT,80, ,CHICAGO,1,Irving Park & Neenah,-87.790762860000001,41.952915339999997
169,170,4203.000000000000000,CALIFORNIA,HARRISON,NB,NS,94, ,CHICAGO,1,California & Harrison,-87.696002129999997,41.873692820000002
170,171,15303.000000000000000,CALIFORNIA,HARRISON,SB,FS,94, ,CHICAGO,1,California & Harrison,-87.696180960000007,41.873586740000000
171,172,4197.000000000000000,CALIFORNIA,ROOSEVELT,NB,NS,94, ,CHICAGO,1,California & Roosevelt,-87.695781350000004,41.866349780000000
172,173,3323.000000000000000,65TH STREET,LAVERGNE (east leg),WB,NS,165, ,CHICAGO,1,65th Street & Lavergne,-87.746835419999996,41.774737799999997
173,174,13085.000000000000000,59TH STREET,CENTRAL PARK,WB,NS,59, ,CHICAGO,1,59th Street & Central Park,-87.712718710000004,41.786167259999999
174,175,1536.000000000000000,51ST STREET,EVANS,WB,NS,15, ,CHICAGO,1,51st Street & Evans,-87.607851019999998,41.802288140000002
175,176,5683.000000000000000,IRVING PARK,HERMITAGE (east leg),WB,NS,80, ,CHICAGO,1,Irving Park & Hermitage,-87.672089420000006,41.954352759999999
176,177,7262.000000000000000,EWING,94TH STREET,SB,MT,"26,30", ,CHICAGO,1,Ewing & 94th Street,-87.538189930000001,41.724798020000001
177,178,7261.000000000000000,EWING,9320 SOUTH (BRIDGE),SB,MB,"26,30", ,CHICAGO,1,9320 S Ewing,-87.540050519999994,41.726644600000000
178,179,5064.000000000000000,RACINE,64TH STREET,NB,NS,44, ,CHICAGO,1,Racine & 64th Street,-87.654353000000000,41.777731000000003
179,180,7583.000000000000000,LANGLEY,132ND STREET,NB,NS,34, ,CHICAGO,1,Langley & 132nd Street,-87.605069220000004,41.655717889999998
180,181,6493.000000000000000,WENTWORTH,23RD STREET,SB,NS,24, ,CHICAGO,1,Wentworth & 23rd Street,-87.632022000000006,41.851087000000000
181,182,16195.000000000000000,CERMAK,LOOMIS,WB,FS,21, ,CHICAGO,1,Cermak & Loomis,-87.661385820000007,41.852493549999998
